Cinsiyet,65 Yaş Üstü,Medeni Durum,Bakma Sorumluluğu,Müşteri Olma Süresi(Ay),Ev Telefonu Aboneliği,Birden Fazla Abonelik Durumu,İnternet Aboneliği,Güvenlik Hizmeti Aboneliği,Yedekleme Hizmeti Aboneliği,Ekipman Güvenlik Aboneliği,Teknik Destek Aboneliği,IP Tv Aboneliği,Film Abonelği,Sözleşme Süresi,Online Fatura(Kağıtsız),Ödeme Şekli,Aylık Ücret,Toplam Ücret,Kayıp Durumu
Erkek,Hayır,Bekar,Yok,18,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,49.4,874.8,Var
Kadın,Hayır,Evli,Var,60,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Kredi Kartı,115.25,6758.45,Yok
Erkek,Hayır,Evli,Yok,72,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,24.8,1874.3,Yok
Erkek,Hayır,Bekar,Yok,39,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,19.9,791.15,Yok
Kadın,Hayır,Evli,Yok,59,Var,Yok,Fiber Optik,Var,Yok,Var,Yok,Yok,Yok,1 Yıllık,Evet,Kredi Kartı,81.25,4639.45,Yok
Erkek,Hayır,Evli,Var,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,69.95,143.9,Yok
Erkek,Evet,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,69.1,69.1,Var
Erkek,Hayır,Evli,Var,20,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,90.2,1776.55,Var
Kadın,Hayır,Bekar,Yok,6,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Havale,93.55,536.4,Var
Erkek,Hayır,Bekar,Yok,71,Var,Var,Fiber Optik,Yok,Yok,Var,Var,Yok,Yok,2 Yıllık,Evet,Kredi Kartı,86.4,6172.0,Yok
Kadın,Hayır,Evli,Yok,24,Var,Var,DSL,Var,Var,Var,Yok,Yok,Yok,1 Aylık,Hayır,Mail,66.3,1559.45,Yok
Erkek,Evet,Evli,Yok,67,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,94.65,6079.0,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Mail,80.85,80.85,Var
Kadın,Hayır,Evli,Var,48,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Yıllık,Evet,Mail,82.05,4029.95,Var
Kadın,Hayır,Evli,Yok,37,Var,Var,DSL,Yok,Var,Yok,Var,Yok,Var,1 Yıllık,Hayır,Mail,72.1,2658.4,Yok
Erkek,Hayır,Bekar,Yok,11,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Var,Yok,Yok,Yok,1 Aylık,Hayır,Mail,34.7,383.55,Yok
Erkek,Hayır,Evli,Yok,3,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Kredi Kartı,20.55,51.15,Var
Kadın,Hayır,Evli,Yok,18,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Kredi Kartı,95.95,1745.5,Yok
Erkek,Hayır,Evli,Var,50,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Yıllık,Evet,Havale,44.8,2230.85,Yok
Kadın,Hayır,Evli,Var,67,Var,Var,Fiber Optik,Var,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,109.4,7281.6,Yok
Kadın,Hayır,Evli,Yok,25,Var,Yok,DSL,Var,Var,Yok,Var,Yok,Var,1 Aylık,Evet,Mail,71.05,1837.7,Yok
Kadın,Evet,Bekar,Yok,2,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,78.55,149.55,Var
Erkek,Hayır,Bekar,Yok,9,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Kredi Kartı,19.7,180.7,Yok
Kadın,Hayır,Bekar,Var,10,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Mail,40.25,411.45,Yok
Kadın,Hayır,Evli,Yok,70,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.85,1328.35,Yok
Erkek,Hayır,Bekar,Yok,9,Var,Yok,DSL,Var,Yok,Var,Var,Yok,Var,1 Aylık,Evet,Havale,68.25,576.95,Yok
Kadın,Hayır,Bekar,Yok,4,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Kredi Kartı,20.15,68.45,Yok
Kadın,Hayır,Bekar,Yok,2,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,50.95,123.05,Yok
Kadın,Hayır,Bekar,Var,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Elektronik,78.65,78.65,Var
Erkek,Hayır,Bekar,Yok,19,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,25.15,468.35,Yok
Erkek,Hayır,Evli,Var,7,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Havale,20.25,174.7,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,42.9,42.9,Var
Erkek,Evet,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,44.0,44.0,Yok
Kadın,Hayır,Evli,Var,9,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,20.25,172.35,Yok
Kadın,Hayır,Bekar,Yok,3,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Var,Yok,Yok,1 Aylık,Hayır,Mail,34.25,139.35,Var
Kadın,Hayır,Bekar,Yok,9,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Var,1 Aylık,Hayır,Mail,58.5,539.85,Var
Kadın,Hayır,Bekar,Yok,5,Var,Yok,DSL,Var,Yok,Var,Yok,Yok,Yok,1 Aylık,Hayır,Kredi Kartı,55.8,300.4,Yok
Kadın,Hayır,Evli,Var,56,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Yıllık,Hayır,Havale,88.9,4968.0,Yok
Kadın,Hayır,Bekar,Var,18,Var,Var,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,57.65,992.7,Yok
Erkek,Evet,Bekar,Yok,49,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,96.2,4718.25,Var
Erkek,Hayır,Evli,Yok,70,Var,Var,DSL,Var,Var,Var,Var,Var,Yok,2 Yıllık,Hayır,Mail,79.15,5536.5,Yok
Kadın,Hayır,Bekar,Yok,72,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,108.05,7806.6,Yok
Kadın,Evet,Bekar,Yok,6,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,74.4,434.1,Var
Erkek,Evet,Evli,Yok,17,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,94.8,1563.9,Yok
Erkek,Hayır,Evli,Yok,29,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,45.9,1332.4,Yok
Kadın,Hayır,Evli,Yok,6,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,105.3,545.2,Var
Erkek,Hayır,Evli,Yok,63,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,2 Yıllık,Hayır,Elektronik,102.6,6296.75,Yok
Erkek,Hayır,Evli,Yok,16,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,73.85,1284.2,Var
Erkek,Hayır,Bekar,Yok,59,Var,Yok,DSL,Yok,Yok,Var,Yok,Yok,Var,1 Yıllık,Evet,Havale,61.35,3645.5,Yok
Kadın,Hayır,Bekar,Yok,3,Var,Yok,DSL,Yok,Yok,Var,Yok,Var,Yok,1 Aylık,Hayır,Elektronik,57.55,161.45,Yok
Kadın,Hayır,Bekar,Yok,8,Yok,Telefon Hizmeti Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,29.25,226.95,Yok
Kadın,Evet,Evli,Yok,7,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,84.55,646.85,Var
Kadın,Hayır,Bekar,Yok,68,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,19.6,1441.65,Yok
Kadın,Hayır,Evli,Var,68,Var,Var,Fiber Optik,Var,Yok,Var,Var,Var,Var,2 Yıllık,Hayır,Kredi Kartı,111.75,7511.3,Yok
Kadın,Evet,Evli,Yok,52,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Yıllık,Evet,Elektronik,106.5,5621.85,Yok
Erkek,Hayır,Evli,Var,72,Var,Var,Fiber Optik,Var,Var,Yok,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,107.7,7919.8,Yok
Kadın,Hayır,Evli,Yok,32,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Mail,19.3,593.2,Yok
Kadın,Hayır,Evli,Yok,72,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,20.05,1423.65,Yok
Erkek,Hayır,Evli,Var,1,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,69.95,69.95,Yok
Erkek,Hayır,Evli,Var,42,Var,Yok,DSL,Var,Yok,Yok,Var,Yok,Var,1 Yıllık,Hayır,Kredi Kartı,63.7,2763.35,Yok
Kadın,Hayır,Bekar,Yok,25,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Kredi Kartı,24.75,692.1,Var
Erkek,Hayır,Bekar,Yok,45,Var,Yok,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,50.9,2298.55,Yok
Kadın,Hayır,Evli,Var,43,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Kredi Kartı,60.4,2640.55,Yok
Erkek,Hayır,Evli,Yok,37,Var,Var,DSL,Var,Yok,Var,Yok,Var,Var,1 Yıllık,Hayır,Mail,79.25,2911.8,Yok
Kadın,Evet,Bekar,Yok,20,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Kredi Kartı,85.8,1727.5,Var
Kadın,Hayır,Bekar,Yok,4,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,24.45,86.6,Var
Erkek,Hayır,Evli,Yok,63,Var,Yok,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,110.1,6705.7,Yok
Erkek,Hayır,Bekar,Yok,3,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Hayır,Mail,90.7,237.65,Yok
Erkek,Hayır,Evli,Var,66,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Kredi Kartı,25.3,1672.35,Yok
Erkek,Hayır,Bekar,Yok,28,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,105.7,2979.5,Var
Kadın,Evet,Bekar,Yok,8,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Var,1 Aylık,Hayır,Elektronik,85.2,695.75,Yok
Erkek,Hayır,Bekar,Var,71,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,24.35,1654.6,Yok
Erkek,Hayır,Bekar,Yok,1,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,24.25,24.25,Var
Kadın,Hayır,Evli,Var,72,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,25.1,1857.85,Yok
Erkek,Evet,Evli,Yok,16,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,54.55,825.1,Yok
Erkek,Hayır,Evli,Yok,66,Var,Var,Fiber Optik,Var,Var,Var,Var,Yok,Yok,2 Yıllık,Hayır,Mail,96.6,6424.25,Yok
Kadın,Hayır,Bekar,Yok,11,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,76.5,837.95,Var
Erkek,Hayır,Bekar,Yok,51,Var,Var,DSL,Var,Var,Var,Var,Var,Yok,1 Yıllık,Evet,Kredi Kartı,81.15,4126.2,Yok
Kadın,Hayır,Bekar,Var,8,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Yok,Yok,Yok,Var,1 Aylık,Evet,Elektronik,38.5,330.8,Yok
Erkek,Hayır,Bekar,Yok,14,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,92.9,1337.45,Yok
Kadın,Hayır,Bekar,Yok,4,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Yok,Var,1 Aylık,Evet,Elektronik,93.5,362.2,Var
Kadın,Hayır,Bekar,Yok,70,Var,Var,DSL,Var,Var,Var,Yok,Var,Var,2 Yıllık,Hayır,Mail,84.7,5991.05,Yok
Kadın,Hayır,Bekar,Var,70,Var,Var,DSL,Var,Var,Yok,Var,Yok,Yok,2 Yıllık,Hayır,Elektronik,66.0,4891.5,Yok
Kadın,Evet,Evli,Yok,54,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Yıllık,Evet,Kredi Kartı,101.5,5373.1,Var
Erkek,Hayır,Bekar,Var,28,Var,Yok,Fiber Optik,Var,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Havale,74.9,2068.55,Var
Erkek,Hayır,Bekar,Yok,24,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.75,487.05,Yok
Kadın,Hayır,Evli,Yok,69,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Var,2 Yıllık,Evet,Kredi Kartı,61.45,4131.2,Yok
Erkek,Hayır,Evli,Var,42,Var,Yok,DSL,Var,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,54.5,2301.15,Yok
Kadın,Evet,Bekar,Yok,2,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,69.6,131.65,Var
Kadın,Evet,Bekar,Yok,39,Var,Var,Fiber Optik,Yok,Yok,Var,Yok,Var,Var,1 Aylık,Evet,Elektronik,99.75,4036.0,Yok
Erkek,Hayır,Evli,Var,45,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,109.75,4900.65,Yok
Erkek,Hayır,Evli,Var,72,Var,Var,DSL,Var,Var,Var,Var,Var,Yok,2 Yıllık,Evet,Havale,80.85,5727.45,Yok
Kadın,Hayır,Bekar,Yok,38,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.3,743.05,Yok
Erkek,Hayır,Evli,Yok,72,Var,Var,DSL,Var,Var,Var,Var,Yok,Yok,2 Yıllık,Evet,Havale,67.8,4804.65,Yok
Erkek,Hayır,Bekar,Yok,1,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,24.05,24.05,Var
Erkek,Hayır,Evli,Var,72,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Kredi Kartı,19.8,1414.65,Yok
Erkek,Hayır,Evli,Yok,55,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Havale,25.7,1443.65,Yok
Kadın,Hayır,Evli,Var,51,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Var,Var,Var,Var,1 Yıllık,Evet,Elektronik,56.15,2898.95,Yok
Erkek,Hayır,Bekar,Yok,63,Var,Yok,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,86.7,5309.5,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,20.4,20.4,Yok
Kadın,Hayır,Evli,Var,23,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Evet,Mail,19.65,451.55,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Elektronik,50.55,50.55,Var
Kadın,Hayır,Bekar,Yok,2,Var,Var,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Mail,54.35,117.05,Yok
Kadın,Evet,Bekar,Yok,52,Var,Var,Fiber Optik,Var,Var,Var,Yok,Var,Var,1 Aylık,Hayır,Kredi Kartı,108.1,5839.3,Yok
Kadın,Hayır,Bekar,Yok,36,Var,Var,DSL,Var,Yok,Yok,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,54.45,1893.5,Yok
Kadın,Hayır,Bekar,Yok,1,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Mail,45.35,45.35,Yok
Kadın,Hayır,Bekar,Yok,28,Var,Var,DSL,Var,Yok,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,59.0,1654.45,Yok
Kadın,Hayır,Evli,Var,7,Var,Yok,DSL,Var,Var,Var,Yok,Var,Yok,1 Yıllık,Hayır,Elektronik,69.45,477.05,Yok
Erkek,Hayır,Bekar,Yok,14,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,100.55,1415.55,Var
Erkek,Evet,Evli,Yok,72,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,64.95,4546.0,Yok
Kadın,Hayır,Evli,Var,1,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.5,20.5,Var
Kadın,Hayır,Bekar,Yok,10,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Hayır,Mail,18.85,163.2,Yok
Erkek,Hayır,Bekar,Yok,42,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Yıllık,Hayır,Havale,19.8,849.9,Yok
Kadın,Hayır,Bekar,Yok,7,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,25.05,189.95,Yok
Erkek,Hayır,Bekar,Yok,4,Var,Yok,Fiber Optik,Yok,Yok,Var,Yok,Yok,Yok,1 Aylık,Evet,Havale,74.8,321.9,Var
Erkek,Hayır,Evli,Var,72,Var,Var,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,114.3,8058.55,Yok
Kadın,Hayır,Evli,Yok,20,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,24.45,482.8,Var
Erkek,Hayır,Bekar,Yok,63,Var,Yok,Fiber Optik,Var,Var,Var,Var,Var,Var,2 Yıllık,Hayır,Kredi Kartı,109.2,7049.75,Yok
Kadın,Hayır,Bekar,Yok,56,Yok,Telefon Hizmeti Yok,DSL,Var,Var,Var,Var,Yok,Yok,2 Yıllık,Hayır,Havale,45.05,2560.1,Yok
Kadın,Hayır,Bekar,Var,5,Var,Yok,DSL,Yok,Yok,Yok,Var,Yok,Yok,1 Aylık,Evet,Mail,51.0,286.8,Yok
Kadın,Hayır,Evli,Yok,72,Var,Var,Fiber Optik,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,110.45,7982.5,Yok
Erkek,Evet,Evli,Var,68,Var,Var,Fiber Optik,Yok,Var,Var,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,84.65,5683.6,Yok
Erkek,Hayır,Evli,Var,67,Var,Yok,DSL,Var,Var,Yok,Var,Yok,Yok,1 Yıllık,Hayır,Mail,60.05,3994.05,Yok
Erkek,Hayır,Evli,Var,8,Var,Yok,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Hayır,Havale,44.65,369.15,Yok
Erkek,Hayır,Evli,Var,52,Var,Var,Fiber Optik,Yok,Var,Yok,Var,Yok,Var,1 Aylık,Evet,Havale,93.25,4631.7,Yok
Kadın,Hayır,Evli,Var,18,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,1 Aylık,Evet,Mail,20.25,401.95,Yok
Kadın,Hayır,Evli,Var,59,Var,Var,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,25.45,1534.05,Yok
Kadın,Hayır,Bekar,Yok,60,Var,Yok,Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,Internet Hizmeti Yok,2 Yıllık,Hayır,Mail,20.6,1093.0,Yok
Erkek,Hayır,Bekar,Yok,7,Var,Var,Fiber Optik,Yok,Yok,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,94.1,701.3,Yok
Erkek,Hayır,Evli,Var,59,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Yok,Yok,Yok,1 Yıllık,Hayır,Mail,34.8,1980.3,Yok
Erkek,Hayır,Bekar,Yok,46,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Havale,60.75,2893.4,Yok
Erkek,Hayır,Bekar,Yok,5,Var,Yok,DSL,Yok,Var,Yok,Yok,Yok,Yok,1 Aylık,Evet,Elektronik,51.35,262.3,Yok
Erkek,Evet,Evli,Yok,59,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Evet,Kredi Kartı,64.05,3886.85,Yok
Kadın,Hayır,Evli,Yok,70,Var,Var,DSL,Yok,Var,Var,Var,Var,Var,2 Yıllık,Evet,Havale,84.8,5917.55,Yok
Kadın,Hayır,Bekar,Yok,14,Var,Yok,Fiber Optik,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Kredi Kartı,71.0,914.0,Var
Kadın,Hayır,Bekar,Yok,44,Var,Var,DSL,Yok,Yok,Yok,Yok,Yok,Yok,1 Aylık,Evet,Mail,50.15,2139.1,Yok
Kadın,Hayır,Evli,Yok,64,Var,Var,Fiber Optik,Var,Yok,Var,Yok,Var,Yok,2 Yıllık,Evet,Kredi Kartı,94.6,5948.7,Yok
Kadın,Hayır,Evli,Var,58,Yok,Telefon Hizmeti Yok,DSL,Var,Yok,Var,Var,Var,Var,2 Yıllık,Hayır,Mail,59.75,3624.35,Yok
Kadın,Evet,Evli,Yok,46,Var,Var,Fiber Optik,Yok,Yok,Yok,Var,Var,Var,1 Yıllık,Hayır,Elektronik,100.25,4753.85,Yok
Erkek,Evet,Evli,Yok,58,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,1 Aylık,Evet,Elektronik,98.9,5780.7,Yok
Kadın,Hayır,Evli,Yok,72,Var,Var,Fiber Optik,Yok,Var,Yok,Yok,Var,Var,2 Yıllık,Evet,Kredi Kartı,97.7,6869.7,Yok
Kadın,Evet,Bekar,Yok,30,Yok,Telefon Hizmeti Yok,DSL,Yok,Yok,Var,Yok,Var,Yok,1 Aylık,Evet,Elektronik,40.3,1172.95,Var
